"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"Blood and organ donations are compulsory in the UK<br><br>True<br>False"	"False"	"It’s a donation, thus it’s not compulsory. Donated blood is used by hospitals to help people with a wide range of injuries and illnesses. Giving blood only takes about an hour to do."	"Life in the UK"	
"Who designed the new St Paul’s?<br><br>Sir Christopher Wren<br>Gertrude Jekyll<br>Sir Edwin Lutyens<br>Robert Adam"	"Sir Christopher Wren"	"In 1666, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral. London was rebuilt with a new St Paul’s, which was designed by a famous architect, Sir Christopher Wren."	"Life in the UK"	
"Why is 1969 a very important year in British history?<br><br>Women were given the right to vote<br>Women were given the right to vote at the age of 30<br>Women were given the right to vote at the age of 21, same as men<br>Women were given the right to vote at the age of 18"	"Women were given the right to vote at the age of 18"	"The voting franchise was also extended to women over 30, and then in 1928 to men and women over 21. In 1969, the voting age was reduced to 18 for men and women."	"Life in the UK"	
"Protestant Christian groups include Baptists, Methodists, Presbyterians and Quakers<br><br>True<br>False"	"True"	"Protestant Christian groups in the UK are Baptists, Methodists, Presbyterians and Quakers. There are also other denominations of Christianity, the biggest of which is Roman Catholic."	"Life in the UK"	
"Select TWO famous Athletes<br><br>John Barbour<br>Henry Moore<br>Sir Roger Bannister<br>Mo Farah"	"Sir Roger Bannister<br>Mo Farah"	"Sir Roger Bannister (1929–) was the first man in the world to run a mile in under four minutes, in 1954.Mo Farah (1983–) is a British distance runner, born in Somalia. He won gold medals in the 2012 Olympics for the 5,000 and 10,000 metres and is the first Briton to win the Olympic gold medal in the 10,000 metres."	"Life in the UK"	
"How can you help looking after the environment?<br><br>Recycling your waste<br>Studying your area<br>Not smoking in public<br>Going shopping carefully"	"Recycling your waste"	"It is important to recycle as much of your waste as you can. Using recycled materials to make new products uses less energy and means that we do not need to extract more raw materials from the earth. It also means that less rubbish is created, so the amount being put into landfill is reduced."	"Life in the UK"	
"Where is the SECC located?<br><br>London<br>Wales<br>Glasgow<br>Swansea"	"Glasgow"	"There are many large venues that host music events throughout the year, such as: Wembley Stadium; The O2 in Greenwich, south-east London; and the Scottish Exhibition and Conference Centre (SECC) in Glasgow."	"Life in the UK"	
"On which TWO occasions will there be a fresh election, called a by-election, in MP’s constituency?<br><br>goes abroad<br>resigns<br>gets ill<br>dies"	"resigns<br>dies"	"MPs are elected at a General Election, which is held at least every five years. If an MP dies or resigns, there will be a fresh election, called a byelection, in his or her constituency. MPs are elected through a system called ‘first past the post’."	"Life in the UK"	
"The members of the Armed Forces can stand for Public Office<br><br>False<br>True"	"False"	"Most citizens of the UK, the Irish Republic or the Commonwealth aged 18 or over can stand for Public Office. There are some exceptions, including:"	"Life in the UK"	
"There is no place in British society for extremism or intolerance<br><br>False<br>True"	"True"	"The statement is true"	"Life in the UK"	
"What is the National Citizen Service?<br><br>It provides free, independent, impartial advice on your rights and responsibilities<br>It is a volunteering programme for young people who want to do voluntary development work abroad<br>It helps you build your skills for work and life<br>It provides free, confidential and impartial advice on consumer issues"	"It helps you build your skills for work and life"	"There are many opportunities for young people to volunteer and receive accreditation which will help them to develop their skills. These include the National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project."	"Life in the UK"	
"Who resides in 10 Downing Street?<br><br>Prince Charles<br>The President<br>The Queen<br>The Prime Minister"	"The Prime Minister"	"The official home of the Prime Minister is 10 Downing Street, in central London, near the Houses of Parliament. He or she also has a country house outside London called Chequers."	"Life in the UK"	
"What can the Scottish Parliament do?<br><br>may pass laws on foreign and defence affairs<br>may pass legislation on anything not specifically reserved to the UK Parliament<br>may pass laws on general economic policy<br>may pass laws on anything in Scotland"	"may pass legislation on anything not specifically reserved to the UK Parliament"	"The Scottish Parliament can pass laws for Scotland on all matters which are not specifically reserved to the UK Parliament. The matters on which the Scottish Parliament can legislate include: civil and criminal law, health, education, planning and additional tax-raising powers."	"Life in the UK"	
"The Council of Europe has no power to make laws<br><br>True<br>False"	"True"	"The Council of Europe is separate from the EU. It has 47 member countries, including the UK, and is responsible for the protection and promotion of human rights in those countries. It has no power to make laws but draws up conventions and charters, the most well-known of which is the European Convention on Human Rights and Fundamental Freedoms, usually called the European Convention on Human Rights."	"Life in the UK"	
"When did the First World War end?<br><br>1916<br>1917<br>1918<br>1919"	"1918"	"The First World War ended at 11.00 am on 11th November 1918 with victory for Britain and its allies."	"Life in the UK"	
"Julius Caesar led a Roman invasion of Britain in 55 BC but this was unsuccessful. For how many years did Britain remain separate from the Roman Empire?<br><br>100<br>200<br>300<br>400"	"100"	"Julius Caesar led a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."	"Life in the UK"	
"What do many theatres produce at Christmas time?<br><br>Pantomime<br>New Years Celebration<br>Huge Display<br>Tragedy Play"	"Pantomime"	"One British tradition is the pantomime. Many theatres produce a pantomime at Christmas time. They are based on fairy stories and are light-hearted plays with music and comedy, enjoyed by family audiences. One of the traditional characters is the Dame, a woman played by a man. There is often also a pantomime horse or cow played by two actors in the same costume."	"Life in the UK"	
"It is an offence not to have an MOT certificate if your vehicle is more than ____ years old<br><br>2<br>3<br>5<br>4"	"3"	"If your vehicle is over three years old, you must take it for a Ministry of Transport (MOT) test every year. It is an offence not to have an MOT certificate if your vehicle is more than three years old."	"Life in the UK"	
"Choose TWO examples of a civil law offence<br><br>Disputes between landlords and tenants<br>Murder, racial crime<br>Theft and assault<br>Unfair dismissal or discrimination in the workplace"	"Disputes between landlords and tenants<br>Unfair dismissal or discrimination in the workplace"	"Examples of civil laws are:"	"Life in the UK"	
"To be able to vote in a parliamentary, local or European election, you must have your name on the electoral register<br><br>False<br>True"	"True"	"To be able to vote in a parliamentary, local or European election, you must have your name on the electoral register. If you are eligible to vote, you can register by contacting your local council electoral registration Office."	"Life in the UK"	
"Which country’s national flower is a thistle?<br><br>Scotland<br>Northern Ireland<br>England<br>Wales"	"Scotland"	"A thistle is a national flower of Scotland."	"Life in the UK"	
"Select TWO popular social networking websites<br><br>E-mail<br>Facebook<br>Telephone<br>Twitter"	"Facebook<br>Twitter"	"Social networking websites such as Facebook and Twitter are a popular way for people to stay in touch with friends, organise social events, and share photos, videos and opinions. Many people use social networking on their mobile phones when out and about."	"Life in the UK"	
"What is the Shadow Cabinet?<br><br>Senior members of the main opposition party who 'shadow' Government ministers in different departments<br>The cabinet where the Prime Minister had to resign<br>The cabinet that is in trouble<br>The name of the office of the Leader of the Opposition in the Parliament"	"Senior members of the main opposition party who 'shadow' Government ministers in different departments"	"The leader of the opposition leads his or her party in pointing out what they see as the government’s failures and weaknesses. The leader of the opposition also appoints senior opposition MPs to be ‘shadow ministers’. They form the shadow cabinet and their role is to challenge the government and put forward alternative policies."	"Life in the UK"	
"The London Eye is situated on the southern bank of which river?<br><br>Tyburn<br>Walbrook<br>Clyde<br>Thames"	"Thames"	"The London Eye is situated on the southern bank of the River Thames and is a Ferris wheel that is 443 feet (135 metres) tall. It was originally built as part of the UK’s celebration of the new millennium and continues to be an important part of New Year celebrations."	"Life in the UK"	
"Adult citizens of the UK, and citizens of the Commonwealth and the Irish Republic who are resident in the UK, can vote in all public elections<br><br>False<br>True"	"True"	"Adult citizens of the UK, and citizens of the Commonwealth and the Irish Republic who are resident in the UK, can vote in all public elections. Adult citizens of other EU states who are resident in the UK can vote in all elections except General Elections."	"Life in the UK"	
"What can be done to protect a person from being forced into a marriage, or to protect a person in a forced marriage?<br><br>Check the age of both people to make sure they are over 25<br>Court orders can be obtained by a potential victim or someone acting for them<br>Check the age of both people to make sure they are over 18<br>Ask the priest to verify the identities"	"Court orders can be obtained by a potential victim or someone acting for them"	"Forced Marriage Protection Orders were introduced in 2008 for England, Wales and Northern Ireland under the Forced Marriage (Civil Protection) Act 2007. Court orders can be obtained to protect a person from being forced into a marriage, or to protect a person in a forced marriage. Similar Protection Orders were introduced in Scotland in November 2011."	"Life in the UK"	
"Easter eggs are often given as presents at Easter as a symbol of new life<br><br>False<br>True"	"True"	"Easter is also celebrated by people who are not religious. ‘Easter eggs’ are chocolate eggs often given as presents at Easter as a symbol of new life."	"Life in the UK"	
"There are 9 National Parks in the UK<br><br>True<br>False"	"False"	"The UK has a large network of public footpaths in the countryside. There are also many opportunities for mountain biking, mountaineering and hill walking. There are 15 national parks in England, Wales and Scotland. They are areas of protected countryside that everyone can visit, and where people live, work and look after the landscape."	"Life in the UK"	
"How is the Speaker elected?<br><br>The PM chooses the Speaker<br>The Archbishop of Canterbury chooses the Speaker<br>The Queen chooses the Speaker<br>Fellow MPs choose the Speaker"	"Fellow MPs choose the Speaker"	"Debates in the House of Commons are chaired by the Speaker. This person is the chief Officer of the House of Commons. The Speaker is neutral and does not represent a political party, even though he or she is an MP, represents a constituency and deals with constituents’ problems like any other MP. The Speaker is chosen by other MPs in a secret ballot."	"Life in the UK"	
"The Speaker also represents Parliament on ceremonial occasions<br><br>False<br>True"	"True"	"The Speaker keeps order during political debates to make sure the rules are followed. This includes making sure the opposition (see The government) has a guaranteed amount of time to debate issues which it chooses. The Speaker also represents Parliament on ceremonial occasions."	"Life in the UK"	
"One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni. What is it known as now?<br><br>northern England<br>southern England<br>western England<br>eastern England"	"eastern England"	"One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni in what is now eastern England. She is still remembered today and there is a statue of her on Westminster Bridge in London, near the Houses of Parliament."	"Life in the UK"	
"On what day does ‘Lent’ begin?<br><br>Ash Wednesday<br>Good Friday<br>Pancake day<br>Shrove Tuesday"	"Ash Wednesday"	"The 40 days before Easter are known as Lent. It is a time when Christians take time to reflect and prepare for Easter. Traditionally, people would fast during this period and today many people will give something up, like a favourite food. The day before Lent starts is called Shrove Tuesday, or Pancake Day. Lent begins on Ash Wednesday."	"Life in the UK"	
"Members in the Welsh Assembly can speak English and Welsh, and all publications of the Assembly are in both languages<br><br>True<br>False"	"True"	"The statement is true"	"Life in the UK"	
"In Northern Ireland, minor cases are heard by a District Judge or Deputy District Judge, who is legally qualified and paid<br><br>True<br>False"	"True"	"In England, Wales and Northern Ireland, most minor criminal cases are dealt with in a Magistrates’ Court. In Scotland, minor criminal offences go to a Justice of the Peace Court. In Northern Ireland, cases are heard by a District Judge or Deputy District Judge, who is legally qualified and paid."	"Life in the UK"	
"The European Convention on Human Rights is incorporated into UK law<br><br>False<br>True"	"True"	"The Human Rights Act 1998 incorporated the European Convention on Human Rights into UK law. The government, public bodies and the courts must follow the principles of the Convention."	"Life in the UK"	
"Many schools organise events to raise money for extra equipment or out-of-school activities<br><br>False<br>True"	"True"	"Many schools organise events to raise money for extra equipment or out-of-school activities. Activities might include book sales, toy sales or bringing food to sell."	"Life in the UK"	
"What are Halloween lanterns traditionally made out of?<br><br>Potatoes<br>Pumpkins<br>Cucumbers<br>Apples"	"Pumpkins"	"Halloween, 31 October, is an ancient festival and has roots in the pagan festival to mark the beginning of winter. Young people will often dress up in frightening costumes to play ‘trick or treat’. People give them treats to stop them playing tricks on them. A lot of people carve lanterns out of pumpkins and put a candle inside."	"Life in the UK"	
"Who makes a speech which summarises the government’s policies for the year ahead?<br><br>The Prime Minister<br>The Queen<br>The Cabinet<br>Local Authorities"	"The Queen"	"The Queen has important ceremonial roles, such as the opening of the new parliamentary session each year. On this occasion the Queen makes a speech which summarises the government’s policies for the year ahead. All Acts of Parliament are made in her name."	"Life in the UK"	
"What is the origin of Parliament?<br><br>The Church's system of governance<br>The Noblemen's council of governance<br>The King's council of advisers<br>The Knights' round table"	"The King's council of advisers"	"In the Middle Ages, Parliament began to develop into the institution it is today. Its origins can be traced to the king’s council of advisers, which included important noblemen and the leaders of the Church."	"Life in the UK"	
"Who is the next heir to the throne?<br><br>Prince William<br>The Prime Minister<br>The Queen's husband<br>The Queen's eldest son"	"The Queen's eldest son"	"The Queen has reigned since her father’s death in 1952, and in 2012 she celebrated her Diamond Jubilee (60 years as queen). She is married to Prince Philip, the Duke of Edinburgh. Her eldest son, Prince Charles (the Prince of Wales), is the heir to the throne."	"Life in the UK"	
"What is the ‘Grand National’?<br><br>A motor race<br>A horse race<br>A football cup competition<br>A tennis championship"	"A horse race"	"The Grand National at Aintree near Liverpool and the Scottish Grand National at Ayr are well known horse racing events."	"Life in the UK"	
"In the 20th century, what did Sir Edwin Lutyens design to be the seat of government in India?<br><br>Bangalore<br>Mumbai<br>New Delhi<br>Kolkata"	"New Delhi"	"In the 20th century, Sir Edwin Lutyens had an influence throughout the British Empire. He designed New Delhi to be the seat of government in India. After the First World War, he was responsible for many war memorials throughout the world, including the Cenotaph in Whitehall."	"Life in the UK"	
"In Scotland, judges developed ‘common law’ by following previous decisions. It was reffered to as ‘unwritten’<br><br>True<br>False"	"False"	"In England, judges developed ‘common law’ by a process of precedence (that is, following previous decisions) and tradition. In Scotland, the legal system developed slightly differently and laws were ‘codified’ (that is, written down)."	"Life in the UK"	
"The UN was set up straight after the First World War. It now has over 190 countries as members<br><br>True<br>False"	"False"	"The UK is part of the United Nations (UN), an international organisation with more than 190 countries as members. The UN was set up after the Second World War and aims to prevent war and promote international peace and security. There are 15 members on the UN Security Council, which recommends action when there are international crises and threats to peace. The UK is one of five permanent members of the Security Council."	"Life in the UK"	
"Nowadays, the House of Commons has more power than the House of Lords<br><br>False<br>True"	"True"	"The House of Commons has powers to overrule the House of Lords, but these are not used often."	"Life in the UK"	
"What do you have to pay tax on in the UK?<br><br>Attendance Allowance<br>Disability Living Allowance<br>All ISAs and Savings Certificates<br>Pensions"	"Pensions"	"People in the UK have to pay tax on their income, which includes:"	"Life in the UK"	
"On Valentine’s Day people exchange gifts and cards and send anonymous cards to people they secretly admire<br><br>False<br>True"	"True"	"Valentine’s Day, 14 February, is when lovers exchange cards and gifts. Sometimes people send anonymous cards to someone they secretly admire."	"Life in the UK"	
"Select TWO early members of the Royal Society<br><br>Sir Geoffrey Chaucer<br>Sir William Shakespeare<br>Sir Edmund Halley<br>Sir Isaac Newton"	"Sir Edmund Halley<br>Sir Isaac Newton"	"Charles II was interested in science. During his reign, the Royal Society was formed to promote ‘natural knowledge’. This is the oldest surviving scientific society in the world. Among its early members were Sir Edmund Halley, who successfully predicted the return of the comet now called Halley’s Comet, and Sir Isaac Newton."	"Life in the UK"	
"What is the correct order of the Patron Saints’ Days? (Starting from January)<br><br>St David's Day, St Patrick's Day, St George's Day, St Andrew's Day<br>St David's Day, St Patrick's Day, St Andrew's Day, St George's Day<br>St Patrick's Day, St David's Day, St Andrew's Day, St George's Day<br>St George's Day, St David's Day, St Patrick's Day, St Andrew's Day"	"St David's Day, St Patrick's Day, St George's Day, St Andrew's Day"	"Only Scotland and Northern Ireland have their patron saint’s day as an official holiday. The days are:"	"Life in the UK"	
"Why is 1928 an important date for women’s rights?<br><br>Women could vote at 18, the same age as men<br>Women could vote at 21, the same age as men<br>Women could vote if they were over 30 years old<br>None of these"	"Women could vote at 21, the same age as men"	"Emmeline Pankhurst was born in Manchester in 1858. She set up the Women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1918, women over the age of 30 were given voting rights. Shortly before Emmeline’s death in 1928, women were given the right to vote at the age of 21, the same as men."	"Life in the UK"	
"A very impressive hill fort can still be seen today at Maiden Castle, what English county does it stand in?<br><br>Dorset<br>Danebury<br>Cornwall<br>East Lothian"	"Dorset"	"A very impressive hill fort can still be seen today at Maiden Castle, in the English county of Dorset."	"Life in the UK"	
"A 60 second silence is observed on the Remembrance Day<br><br>True<br>False"	"False"	"Remembrance Day, 11 November, commemorates those who died fighting for the UK and its allies. Originally it commemorated the dead of the First World War, which ended on 11 November 1918. People wear poppies (the red flower found on the battlefields of the First World War). At 11.00 am there is a two-minute silence and wreaths are laid at the Cenotaph in Whitehall, London."	"Life in the UK"	
"What system can be used to complete a tax return if you are self-employed?<br><br>PAYE (Pay as you earn)<br>Self-assessment<br>National Insurance contribution<br>Self-checkout"	"Self-assessment"	"For most people, the right amount of income tax is automatically taken from their income from employment by their employer and paid directly to HM Revenue & Customs (HMRC), the government department that collects taxes. This system is called ‘Pay As You Earn’ (PAYE). If you are self-employed, you need to pay your own tax through a system called ‘self-assessment’, which includes completing a tax return."	"Life in the UK"	
"What method is used to elect UK MPs?<br><br>Popularity<br>Instant runoff<br>First past the post system<br>Proportional Representation"	"First past the post system"	"MPs are elected through a system called ‘first past the post’. In each constituency, the candidate who gets the most votes is elected. The government is usually formed by the party that wins the majority of constituencies. If no party wins a majority, two parties may join together to form a coalition."	"Life in the UK"	
"New citizens _____ loyalty to the Queen as part of the citizenship ceremony. (Choose 2 answers)<br><br>Sign<br>Send<br>Affirm<br>Swear"	"Affirm<br>Swear"	"New citizens swear or affirm loyalty to the Queen as part of the citizenship ceremony."	"Life in the UK"	
"Which TWO roles are school governors and school boards responsible for?<br><br>Setting the strategic direction of the school<br>Monitoring and evaluating school performance<br>Doing outdoor activities<br>Raising money"	"Setting the strategic direction of the school<br>Monitoring and evaluating school performance"	"Governors and school boards have an important part to play in raising school standards. They have three key roles:"	"Life in the UK"	
"How many people lost their lives in Northern Ireland in the decades after 1969?<br><br>4000<br>3000<br>2000<br>1000"	"3000"	"The 1970s were also a time of serious unrest in Northern Ireland. In 1972, the Northern Ireland Parliament was suspended and Northern Ireland was directly ruled by the UK government. Some 3,000 people lost their lives in the decades after 1969 in the violence in Northern Ireland."	"Life in the UK"	
"Volunteering is compulsory in the UK<br><br>False<br>True"	"False"	"Volunteering is working for good causes without payment.It is not compulsory."	"Life in the UK"	
"What prehistoric village (off the north coast of Scotland) has helped archaeologists to understand more about how people lived near the end of the Stone Age?<br><br>Skara Brae on Orkney<br>St Helena<br>Falkland Islands<br>Shetland"	"Skara Brae on Orkney"	"Skara Brae on Orkney, off the north coast of Scotland, is the best preserved prehistoric village in northern Europe, and has helped archaeologists to understand more about how people lived near the end of the Stone Age."	"Life in the UK"	
"Which TWO are NOT part of the UK?<br><br>Wales<br>the Isle of Man<br>Northern Ireland<br>the Channel Islands"	"the Isle of Man<br>the Channel Islands"	"The UK is made up of England, Scotland, Wales and Northern Ireland."	"Life in the UK"	
"What does St Patrick’s cross look like?<br><br>Welsh dragon cross<br>A red cross on a white ground<br>A diagonal white cross on a blue ground<br>A diagonal red cross on a white ground"	"A diagonal red cross on a white ground"	""	"Life in the UK"	
"When William of Orange re-conquered Ireland (in 1690) he took the title ‘William the Conqueror’<br><br>False<br>True"	"False"	"In 1066, an invasion led by William, the Duke of Normandy (in what is now northern France), defeated Harold, the Saxon king of England, at the Battle of Hastings. Harold was killed in the battle. William became king of England and is known as William the Conqueror."	"Life in the UK"	
"Who was Robert Burns?<br><br>English social reformer<br>English barber<br>Scottish poet<br>Welsh portrait painter"	"Scottish poet"	"Known in Scotland as ‘The Bard’, Robert Burns was a Scottish poet. Burns’ best-known work is probably the song Auld Lang Syne, which is sung by people in the UK and other countries when they are celebrating the New Year (or Hogmanay as it is called in Scotland)."	"Life in the UK"	
"How many members does the Welsh Assembly have?<br><br>108<br>60<br>129<br>140"	"60"	"The Welsh Assembly has 60 members."	"Life in the UK"	
"Oliver Cromwell took the title ‘King of Ireland’<br><br>False<br>True"	"False"	"Cromwell was given the title of Lord Protector and ruled until his death in 1658. Henry VIII took the title ‘King of Ireland’"	"Life in the UK"	
"Who led a team of scientists to develop the atomic bomb?<br><br>Dylan Thomas<br>Isaac Newton<br>Ernst  Rutherford<br>Sir John Lavery"	"Ernst  Rutherford"	"Scientists led by Ernest Rutherford, working at Manchester and then Cambridge University, were the first to ‘split the atom’ and took part in the Manhattan Project in the United States, which developed the atomic bomb."	"Life in the UK"	
"The burial place of one of the kings was at Sutton Hoo in modern Suffolk<br><br>True<br>False"	"True"	"The burial place of one of the Anglo-Saxon kings was at Sutton Hoo in modern Suffolk. This king was buried with treasure and armour, all placed in a ship which was then covered by a mound of earth."	"Life in the UK"	
"Rudyard Kipling reflected the idea that the British Empire was a force for good<br><br>True<br>False"	"True"	"Kipling wrote books and poems set in both India and the UK. His poems and novels reflected the idea that the British Empire was a force for good. Kipling was awarded the Nobel Prize in Literature in 1907."	"Life in the UK"	
"Which of these countries was NOT UK’s ally in the WWII?<br><br>Poland<br>Soviet Union<br>Japan<br>France"	"Japan"	"The war was initially fought between the Axis powers (fascist Germany and Italy and the Empire of Japan) and the Allies"	"Life in the UK"	
"The Scottish Parliament (after the Magna Carta was established in England) was spilt into two estates: the Lords and the Commons<br><br>False<br>True"	"False"	"In England, the nobility, great landowners and bishops sat in the House of Lords. Knights, who were usually smaller landowners, and wealthy people from towns and cities were elected to sit in the House of Commons. Only a small part of the population was able to join in electing the members of the Commons. In Scotland, the parliament had three Houses, called Estates: the Lords, the Commons and the Clergy."	"Life in the UK"	
"When did the British troops leave Iraq?<br><br>2013<br>2009<br>2004<br>2000"	"2009"	"Since 2000, British armed forces have been engaged in the global fight against international terrorism and against the proliferation of weapons of mass destruction, including operations in Afghanistan and Iraq. British combat troops left Iraq in 2009."	"Life in the UK"	
"In what county can you see a hill fort at Maiden Castle?<br><br>Wiltshire<br>Chesshire<br>Lancashire<br>Dorset"	"Dorset"	"A very impressive hill fort can still be seen today at Maiden Castle, in the English county of Dorset."	"Life in the UK"	
"The British constitution is described as ‘unwritten’<br><br>True<br>False"	"True"	"The British constitution is not written down in any single document, and therefore it is described as ‘unwritten’. This is mainly because the UK, unlike America or France, has never had a revolution which led permanently to a totally new system of government. Our most important institutions have developed over hundreds of years."	"Life in the UK"	
"After the Emancipation Act, how many Indian and Chinese workers were employed to replace the slaves?<br><br>1 million<br>1.4 million<br>2 million<br>2.6 million"	"2 million"	"The first formal anti-slavery groups were set up by the Quakers in the late 1700s. William Wilberforce  succeeded in turning public opinion against the slave trade. In 1807, it became illegal to trade slaves in British ships or from British ports, and in 1833 the Emancipation Act abolished slavery throughout the British Empire. The Royal Navy stopped slave ships from other countries, freed the slaves and punished the slave traders. After 1833, 2 million Indian and Chinese workers were employed to replace the freed slaves."	"Life in the UK"	
"Which TWO did the Romans establish in Britain?<br><br>Introduced constitutional monarchy<br>Introduced basic democracy<br>Intoduced new plants and animals<br>Created a structure of law"	"Intoduced new plants and animals<br>Created a structure of law"	"The Romans remained in Britain for 400 years. They built roads and public buildings, created a structure of law, and introduced new plants and animals"	"Life in the UK"	
"When were the Anglo-Saxon kingdoms established in England?<br><br>by AD 410<br>by AD 600<br>by AD 500<br>by AD 550"	"by AD 600"	"By about AD 600, Anglo-Saxon kingdoms were established in Britain. These kingdoms were mainly in what is now England."	"Life in the UK"	
"When was a Turing machine invented?<br><br>1910s<br>1930s<br>1950s<br>1970s"	"1930s"	"A Turing machine is a theoretical mathematical device invented by Alan Turing (1912–54), a British mathematician, in the 1930s. The theory was influential in the development of computer science and the modern-day computer."	"Life in the UK"	
"Can the devolved administrations control sectors such as immigration, foreign affairs and taxation?<br><br>Yes<br>No<br>Only if the local people support them<br>Only in Scotland"	"No"	"Since 1997, some powers have been devolved from the central government to give people in Wales, Scotland and Northern Ireland more control over matters that directly affect them. Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as education, are controlled by the devolved administrations."	"Life in the UK"	
"Robert the Bruce is associated with which country?<br><br>Wales<br>Scotland<br>England<br>Ireland"	"Scotland"	"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the Battle of Bannockburn, and Scotland remained unconquered by the English."	"Life in the UK"	
"Where is Snowdonia located?<br><br>Scotland<br>Wales<br>West England<br>North England"	"Wales"	"Snowdonia is a national park in North Wales. It covers an area of 838 square miles (2,170 square kilometres). Its most well-known landmark is Snowdon, which is the highest mountain in Wales."	"Life in the UK"	
"Which of these was said by Winston Churchill?<br><br>'Never in the field of human conflict was so much owed by so many to so few' only<br>All of the these<br>'I have nothing to offer but blood, toil, tears and sweat' only<br>'We shall never surrender' only"	"All of the these"	"All of these are examples of his speeches."	"Life in the UK"	
"Protestant ideas gradually gained strength in England, Wales and Scotland during what century?<br><br>16th<br>15th<br>14th<br>17th"	"16th"	"Protestant ideas gradually gained strength in England, Wales and Scotland during the 16th century."	"Life in the UK"	
"What’s the % of Jewish or Buddhist people in the UK?<br><br>2%<br>less than 0.5%<br>more than 3%<br>1%"	"less than 0.5%"	"In the 2009 Citizenship Survey, 70% of people identified themselves as Christian. Much smaller proportions identified themselves as Muslim (4%), Hindu (2%), Sikh (1%), Jewish or Buddhist (both less than 0.5%), and 2% of people followed another religion."	"Life in the UK"	
"When did the First World War end?<br><br>11th of November<br>9th of May<br>18th of August<br>9th of july"	"11th of November"	"The First World War ended at 11.00 am on 11th November 1918 with victory for Britain and its allies."	"Life in the UK"	
"When did Ireland split into two countries?<br><br>1922<br>1959<br>1921<br>1916"	"1922"	"In 1921 a peace treaty was signed and in 1922 Ireland became two countries. The six counties in the north which were mainly Protestant remained part of the UK under the name Northern Ireland. The rest of Ireland became the Irish Free State. It had its own government and became a republic in 1949."	"Life in the UK"	
"What party won the General Election in 2010?<br><br>Labour Party<br>Liberal democrats<br>Tories<br>None, Liberal Democrats and Conservative party formed a Coalition"	"None, Liberal Democrats and Conservative party formed a Coalition"	"In May 2010, and for the first time in the UK since February 1974, no political party won an overall majority in the General Election. The Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."	"Life in the UK"	
"On average, girls leave school with better qualifications than boys<br><br>True<br>False"	"True"	"The Statement is true"	"Life in the UK"	
"What was the first war to be extensively covered by the media?<br><br>The Crimean War<br>The Battle of Waterloo<br>The Battle Of Britain<br>The Battle of Hastings"	"The Crimean War"	"From 1853 to 1856, Britain fought with Turkey and France against Russia in the Crimean War. It was the first war to be extensively covered by the media through news stories and photographs"	"Life in the UK"	
"Scotland and Wales remained free of Anglo-Saxon rule<br><br>False<br>True"	"True"	"Parts of the west of Britain, including much of what is now Wales, and Scotland, remained free of Anglo-Saxon rule."	"Life in the UK"	
"Which TWO of these are cycling athletes?<br><br>Sir Steve Redgrave<br>Sir Chris Hoy<br>Bradley Wiggins<br>Jessica Ennis"	"Sir Chris Hoy<br>Bradley Wiggins"	"Sir Chris Hoy (1976–) is a Scottish cyclist who has won six gold and one silver Olympic medals. He has also won 11 world championship titles.Bradley Wiggins (1980–) is a cyclist. In 2012, he became the first Briton to win the Tour de France. He has won seven Olympic medals, including gold medals in the 2004, 2008 and 2012 Olympic Games."	"Life in the UK"	
"Which TWO buildings were built during the Middle Ages?<br><br>Edinburgh Castle<br>Lincoln Cathedral<br>New St Paul's Cathedral<br>The building of Parliament"	"Edinburgh Castle<br>Lincoln Cathedral"	"The Middle Ages also saw a change in the type of buildings in Britain. Castles were built in many places in Britain and Ireland, partly for defence. Today many are in ruins, although some, such as Windsor and Edinburgh, are still in use. Great cathedrals – for example, Lincoln Cathedral – were also built, and many of these are still used for worship."	"Life in the UK"	
"During the Bronze age people lived in roundhouses and buried their dead in tombs called round barrows<br><br>False<br>True"	"True"	"The statement is true"	"Life in the UK"	
"Children’s Hearings system is used in which country?<br><br>Scotland<br>Wales<br>England<br>Northern Ireland"	"Scotland"	"In Scotland a system called the Children’s Hearings System is used to deal with children and young people who have committed an offence. Northern Ireland has a system of youth conferencing to consider how a child should be dealt with when they have committed an offence."	"Life in the UK"	
"What were James II’s supporters known as?<br><br>Quakers<br>Cavaliers<br>Roundheads<br>Jacobites"	"Jacobites"	"Some continued to believe that James was the rightful king, particularly in Scotland. Some joined him in exile in France; others were secret supporters. James’ supporters became known as Jacobites."	"Life in the UK"	
